,report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
730,1985,LANPD00,"New Orleans, LA",561364.0,8222.0,152.0,451.0,3477.0,4142.0,12.0,1464.65,27.08,80.34,619.38,737.85
731,1985,NY03030,"New York City, NY",7183984.0,135152.0,1384.0,3880.0,50356.0,79532.0,12.0,1881.3,19.27,54.01,700.95,1107.07
732,1985,NJNPD00,"Newark, NJ",316356.0,9736.0,117.0,594.0,3705.0,5320.0,12.0,3077.55,36.98,187.76,1171.15,1681.65
733,1985,CA00109,"Oakland, CA",362095.0,6703.0,95.0,531.0,2761.0,3316.0,12.0,1851.17,26.24,146.65,762.51,915.78
734,1985,OK05506,"Oklahoma City, OK",443575.0,4328.0,61.0,485.0,2197.0,1585.0,12.0,975.71,13.75,109.34,495.29,357.32
735,1985,NB02802,"Omaha, NE",362883.0,2498.0,24.0,214.0,1669.0,591.0,12.0,688.38,6.61,58.97,459.93,162.86
736,1985,FL04804,"Orlando, FL",142025.0,2931.0,24.0,154.0,1851.0,902.0,12.0,2063.72,16.9,108.43,1303.29,635.1
737,1985,PAPEP00,"Philadelphia, PA",1640102.0,16209.0,273.0,1021.0,5534.0,9381.0,12.0,988.29,16.65,62.25,337.42,571.98
738,1985,AZ00723,"Phoenix, AZ",890746.0,7521.0,89.0,635.0,4372.0,2425.0,12.0,844.35,9.99,71.29,490.82,272.24
739,1985,PAPPD00,"Pittsburgh, PA",400969.0,4353.0,34.0,188.0,1115.0,3016.0,12.0,1085.62,8.48,46.89,278.08,752.18
740,1985,OR02602,"Portland, OR",367571.0,8634.0,43.0,469.0,4614.0,3508.0,12.0,2348.93,11.7,127.59,1255.27,954.37
741,1985,MD01721,"Prince George's County, MD",574412.0,5055.0,43.0,340.0,2461.0,2211.0,12.0,880.03,7.49,59.19,428.44,384.92
742,1985,NC09201,"Raleigh, NC",171814.0,1035.0,13.0,57.0,658.0,307.0,12.0,602.4,7.57,33.18,382.97,178.68
743,1985,CA03404,"Sacramento, CA",312944.0,3681.0,39.0,209.0,1350.0,2083.0,12.0,1176.25,12.46,66.79,431.39,665.61
744,1985,UT01803,"Salt Lake City, UT",164216.0,1083.0,14.0,99.0,524.0,446.0,12.0,659.5,8.53,60.29,319.09,271.59
745,1985,TXSPD00,"San Antonio, TX",862878.0,5393.0,180.0,824.0,1706.0,2683.0,12.0,625.0,20.86,95.49,197.71,310.94
746,1985,CA03711,"San Diego, CA",988284.0,6250.0,96.0,338.0,2754.0,3062.0,12.0,632.41,9.71,34.2,278.66,309.83
747,1985,CA03801,"San Francisco, CA",733456.0,9502.0,85.0,512.0,3794.0,5111.0,12.0,1295.51,11.59,69.81,517.28,696.84
748,1985,CA04313,"San Jose, CA",706062.0,3470.0,55.0,415.0,1763.0,1237.0,12.0,491.46,7.79,58.78,249.69,175.2
749,1985,WASPD00,"Seattle, WA",495190.0,6523.0,61.0,441.0,3178.0,2843.0,12.0,1317.27,12.32,89.06,641.77,574.12
750,1985,MOSPD00,"St. Louis, MO",431109.0,8642.0,169.0,384.0,4953.0,3136.0,12.0,2004.6,39.2,89.07,1148.9,727.43
751,1985,NY05101,"Suffolk County, NY",1194000.0,2630.0,32.0,146.0,1271.0,1181.0,11.0,220.27,2.68,12.23,106.45,98.91
752,1985,FL02902,"Tampa, FL",285280.0,6855.0,70.0,288.0,3840.0,2657.0,12.0,2402.9,24.54,100.95,1346.05,931.37
753,1985,AZ01003,"Tucson, AZ",381473.0,3713.0,32.0,297.0,2333.0,1051.0,12.0,973.33,8.39,77.86,611.58,275.51
754,1985,OK07205,"Tulsa, OK",374875.0,2902.0,33.0,268.0,1805.0,796.0,12.0,774.12,8.8,71.49,481.49,212.34
755,1985,VA12800,"Virginia Beach, VA",312584.0,550.0,17.0,98.0,230.0,205.0,12.0,175.95,5.44,31.35,73.58,65.58
756,1985,DCMPD00,"Washington, DC",626000.0,10171.0,147.0,337.0,4457.0,5230.0,12.0,1624.76,23.48,53.83,711.98,835.46
757,1985,KS08703,"Wichita, KS",284915.0,1672.0,26.0,249.0,698.0,699.0,12.0,586.84,9.13,87.39,244.99,245.34
759,1986,NM00101,"Albuquerque, NM",364196.0,4292.0,49.0,247.0,2748.0,1248.0,12.0,1178.49,13.45,67.82,754.54,342.67
760,1986,TX22001,"Arlington, TX",223106.0,1450.0,22.0,120.0,790.0,518.0,12.0,649.92,9.86,53.79,354.09,232.18
761,1986,GAAPD00,"Atlanta, GA",445617.0,13162.0,186.0,681.0,6867.0,5428.0,12.0,2953.66,41.74,152.82,1541.01,1218.09
762,1986,CO00101,"Aurora, CO",200189.0,2868.0,11.0,120.0,2157.0,580.0,12.0,1432.65,5.49,59.94,1077.48,289.73
763,1986,TX22701,"Austin, TX",414220.0,2667.0,48.0,388.0,1107.0,1124.0,12.0,643.86,11.59,93.67,267.25,271.35
